latitude,longitude,Number of Parks found,Distance to Closest Park
43.6704403,-79.45328549999999,4,352.0
43.6535,-79.354068,6,68.0
43.6617908,-79.361515,7,182.0
43.649709,-79.364184,6,60.0
43.666051,-79.374161,7,92.0
43.7005976,-79.397345,5,268.0
43.7029672,-79.3979073,2,402.0
43.68871,-79.39264,3,288.0
43.6834703,-79.5108942,2,88.0
43.7696262,-79.5025943,1,253.0
43.7641485,-79.5012809,1,228.0
43.76521,-79.491281,0,
43.7724019,-79.4675395,0,
43.7781116,-79.467963,2,24.0
43.707049,-79.40966,3,341.0
43.711751,-79.378615,1,88.0
43.732975,-79.40401,1,156.0
43.660274,-79.398049,4,235.0
43.699281,-79.318802,2,395.0
43.696631,-79.297436,2,451.0
43.6765897,-79.3163022,2,129.0
43.650745,-79.383633,10,215.0
43.720233,-79.362092,3,292.0
43.6926825,-79.441042,1,379.0
43.7041957,-79.4094472,2,403.0
43.7078691,-79.39248,3,76.0
43.5880774,-79.5432067,3,156.0
43.754978,-79.1971289,1,475.0
43.6856,-79.3718,2,201.0
43.637764,-79.345359,2,141.0
43.6629228,-79.4018451,9,189.0
43.660296,-79.397107,4,272.0
43.7805505,-79.1301203,0,
43.7777114,-79.1659711,1,135.0
43.779353,-79.193023,0,
43.747854,-79.199327,1,188.0
43.7561681,-79.2026694,2,45.0
43.6002896,-79.5108692,2,149.0
43.6615467,-79.498398,2,399.0
43.6632257,-79.4397052,2,386.0
43.680095,-79.291714,1,385.0
43.691468,-79.288619,1,363.0
43.645609,-79.380386,10,193.0
43.6591666666667,-79.3855555555556,6,145.0
43.658777,-79.369596,3,333.0
43.6625395,-79.5030161,1,1388.0
43.7004017,-79.4275305,2,483.0
43.77953,-79.45233,1,299.0
43.7774374,-79.4447096,3,357.0
43.6637403,-79.39806449999999,8,153.0
43.707045,-79.375437,1,233.0
43.6495789,-79.3762096,10,124.0
43.690903,-79.4375028,3,224.0
43.643253094827294,-79.41230469904167,10,132.0
43.6029904,-79.4926867,0,
43.6596299,-79.4799176,3,274.0
43.6608333,-79.43166666666667,4,83.0
43.66083333333333,-79.43583333333333,5,164.0
43.69933,-79.39199,4,235.0
43.6653032,-79.4701178,3,172.0
43.6162721,-79.4990363,2,61.0
43.720645,-79.355474,3,242.0
43.6641174,-79.4588522,3,84.0
43.6424558,-79.4296346,6,246.0
43.6954486,-79.4026176,5,295.0
43.6850809,-79.3149901,2,114.0
43.6800218,-79.3405681,3,60.0
43.7842419,-79.1849889,0,
43.6451308,-79.36536439999999,6,48.0
43.6482995,-79.3552533,1,185.0
43.65637299999999,-79.38781039999999,4,455.0
43.657838,-79.38631,5,270.0
43.778015,-79.131911,2,318.0
43.672079,-79.470171,2,219.0
43.690237,-79.350119,1,369.0
